[ 2025-01-16 09:07:10,401 ] 21 root - INFO - Initiaite data ingeation
[ 2025-01-16 09:07:19,478 ] 71 root - INFO - Perform train test spit ib the dataframe
[ 2025-01-16 09:07:19,478 ] 73 root - INFO - Exited sloit _data_as_train_test method of data_ingestion class
[ 2025-01-16 09:07:20,220 ] 81 root - INFO - Exporting train and test file path.
[ 2025-01-16 09:07:20,224 ] 24 root - INFO - data ingestion completed
[ 2025-01-16 09:07:20,232 ] 30 root - INFO - Initiate the data Validation
[ 2025-01-16 09:07:20,521 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 09:07:20,521 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 09:07:20,521 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 09:07:20,521 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 09:07:21,665 ] 33 root - INFO - data Validation Completed
[ 2025-01-16 09:07:21,665 ] 40 root - INFO - Initiate the data Transformation
[ 2025-01-16 09:07:21,665 ] 55 root - INFO - Enter inot the instaitae the data Trnasformation
[ 2025-01-16 09:07:21,666 ] 57 root - INFO - Start data Tranformation
[ 2025-01-16 09:07:21,936 ] 42 root - INFO - Enter get _data_tranfomer_object method of tranfomration class
[ 2025-01-16 09:07:21,936 ] 46 root - INFO - initiailise the KNN iimputer
[ 2025-01-16 09:07:21,995 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-16 09:07:22,005 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-16 09:07:22,017 ] 43 root - INFO - data Transformation Completed
[ 2025-01-16 09:07:22,017 ] 46 root - INFO - Model Training Startecd
