[ 2025-01-16 11:38:12,415 ] 22 root - INFO - Initiaite data ingeation
[ 2025-01-16 11:38:21,913 ] 71 root - INFO - Perform train test spit ib the dataframe
[ 2025-01-16 11:38:21,914 ] 73 root - INFO - Exited sloit _data_as_train_test method of data_ingestion class
[ 2025-01-16 11:38:22,556 ] 81 root - INFO - Exporting train and test file path.
[ 2025-01-16 11:38:22,559 ] 25 root - INFO - data ingestion completed
[ 2025-01-16 11:38:22,567 ] 31 root - INFO - Initiate the data Validation
[ 2025-01-16 11:38:22,769 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 11:38:22,769 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 11:38:22,769 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 11:38:22,769 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 11:38:23,796 ] 34 root - INFO - data Validation Completed
[ 2025-01-16 11:38:23,796 ] 41 root - INFO - Initiate the data Transformation
[ 2025-01-16 11:38:23,796 ] 55 root - INFO - Enter inot the instaitae the data Trnasformation
[ 2025-01-16 11:38:23,796 ] 57 root - INFO - Start data Tranformation
[ 2025-01-16 11:38:24,048 ] 42 root - INFO - Enter get _data_tranfomer_object method of tranfomration class
[ 2025-01-16 11:38:24,048 ] 46 root - INFO - initiailise the KNN iimputer
[ 2025-01-16 11:38:24,107 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-16 11:38:24,119 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-16 11:38:24,128 ] 44 root - INFO - data Transformation Completed
[ 2025-01-16 11:38:24,128 ] 47 root - INFO - Model Training Startecd
[ 2025-01-16 12:02:36,801 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-16 12:02:36,841 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-16 12:02:36,841 ] 111 root - INFO - Model trainer artifact 
[ 2025-01-16 12:02:36,850 ] 52 root - INFO - Model Training Completed
