[ 2025-01-16 09:08:05,276 ] 21 root - INFO - Initiaite data ingeation
[ 2025-01-16 09:08:13,714 ] 71 root - INFO - Perform train test spit ib the dataframe
[ 2025-01-16 09:08:13,714 ] 73 root - INFO - Exited sloit _data_as_train_test method of data_ingestion class
[ 2025-01-16 09:08:14,393 ] 81 root - INFO - Exporting train and test file path.
[ 2025-01-16 09:08:14,397 ] 24 root - INFO - data ingestion completed
[ 2025-01-16 09:08:14,404 ] 30 root - INFO - Initiate the data Validation
[ 2025-01-16 09:08:14,615 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 09:08:14,615 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 09:08:14,615 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 09:08:14,615 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 09:08:15,687 ] 33 root - INFO - data Validation Completed
[ 2025-01-16 09:08:15,687 ] 40 root - INFO - Initiate the data Transformation
[ 2025-01-16 09:08:15,687 ] 55 root - INFO - Enter inot the instaitae the data Trnasformation
[ 2025-01-16 09:08:15,687 ] 57 root - INFO - Start data Tranformation
[ 2025-01-16 09:08:15,953 ] 42 root - INFO - Enter get _data_tranfomer_object method of tranfomration class
[ 2025-01-16 09:08:15,953 ] 46 root - INFO - initiailise the KNN iimputer
[ 2025-01-16 09:08:16,017 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-16 09:08:16,028 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-16 09:08:16,041 ] 43 root - INFO - data Transformation Completed
[ 2025-01-16 09:08:16,042 ] 46 root - INFO - Model Training Startecd
