[ 2025-01-16 09:55:38,741 ] 22 root - INFO - Initiaite data ingeation
[ 2025-01-16 09:55:48,124 ] 71 root - INFO - Perform train test spit ib the dataframe
[ 2025-01-16 09:55:48,124 ] 73 root - INFO - Exited sloit _data_as_train_test method of data_ingestion class
[ 2025-01-16 09:55:48,947 ] 81 root - INFO - Exporting train and test file path.
[ 2025-01-16 09:55:48,950 ] 25 root - INFO - data ingestion completed
[ 2025-01-16 09:55:48,957 ] 31 root - INFO - Initiate the data Validation
[ 2025-01-16 09:55:49,181 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 09:55:49,181 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 09:55:49,181 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 09:55:49,181 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 09:55:50,283 ] 34 root - INFO - data Validation Completed
[ 2025-01-16 09:55:50,283 ] 41 root - INFO - Initiate the data Transformation
[ 2025-01-16 09:55:50,283 ] 55 root - INFO - Enter inot the instaitae the data Trnasformation
[ 2025-01-16 09:55:50,283 ] 57 root - INFO - Start data Tranformation
[ 2025-01-16 09:55:50,540 ] 42 root - INFO - Enter get _data_tranfomer_object method of tranfomration class
[ 2025-01-16 09:55:50,540 ] 46 root - INFO - initiailise the KNN iimputer
[ 2025-01-16 09:55:50,606 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-01-16 09:55:50,617 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-01-16 09:55:50,629 ] 44 root - INFO - data Transformation Completed
[ 2025-01-16 09:55:50,629 ] 47 root - INFO - Model Training Startecd
