[ 2025-01-16 02:25:02,996 ] 20 root - INFO - Initiaite data ingeation
[ 2025-01-16 02:25:11,668 ] 71 root - INFO - Perform train test spit ib the dataframe
[ 2025-01-16 02:25:11,668 ] 73 root - INFO - Exited sloit _data_as_train_test method of data_ingestion class
[ 2025-01-16 02:25:12,309 ] 81 root - INFO - Exporting train and test file path.
[ 2025-01-16 02:25:12,312 ] 23 root - INFO - data ingestion completed
[ 2025-01-16 02:25:12,319 ] 29 root - INFO - Initiate the data Validation
[ 2025-01-16 02:25:12,521 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 02:25:12,521 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 02:25:12,522 ] 48 root - INFO - Required number of columns: 2
[ 2025-01-16 02:25:12,522 ] 49 root - INFO - Data frame has columns: 31
[ 2025-01-16 02:25:13,439 ] 31 root - INFO - data Validation Completed
